15RS008,SOUTHWEST PLASTIC BINDING,,4.38,P
19RS002,AKILES PRODUCTS INC,EP104BK,1.51,
19RS002,SOUTHWEST PLASTIC BINDING,,1.51,
19RS002,Spiral Binding Co,,1.92,P
19RS003,AKILES PRODUCTS INC,EP516BK,1.84,
19RS003,SOUTHWEST PLASTIC BINDING,,1.83,
19RS003,Spiral Binding Co,13014,2.15,P
19RS004,AKILES PRODUCTS INC,EP308BK,2.16,
19RS004,SOUTHWEST PLASTIC BINDING,19RS004,2.14,
19RS004,Spiral Binding Co,13038,2.32,P
19RS005,AKILES PRODUCTS INC,EP716BK,2.38,
19RS005,SOUTHWEST PLASTIC BINDING,,2.73,
19RS005,Spiral Binding Co,13716,2.99,P
19RS006,AKILES PRODUCTS INC,EP102BK,2.75,
19RS006,SOUTHWEST PLASTIC BINDING,19RS006,3.17,
19RS006,Spiral Binding Co,13012,3.18,P
19RS007,AKILES PRODUCTS INC,EP916BK,3.26,
19RS007,SOUTHWEST PLASTIC BINDING,,3.75,
19RS007,Spiral Binding Co,13916,3.95,P
19RS008,AKILES PRODUCTS INC,EP508BK,4.1,
19RS008,SOUTHWEST PLASTIC BINDING,,4.38,
19RS008,Spiral Binding Co,13058,4.92,P
19RS008,TAMERICA PRODUCTS INC.,19RS008,0,
19RS009,AKILES PRODUCTS INC,EP304BK,5.39,
19RS009,SOUTHWEST PLASTIC BINDING,,5.51,
19RS009,Spiral Binding Co,13034,5.92,P
19RS009,TAMERICA PRODUCTS INC.,19RS009,0,
19RS010,AKILES PRODUCTS INC,EP708BK,6.4,
19RS010,SOUTHWEST PLASTIC BINDING,,7.03,
19RS010,Spiral Binding Co,13078,7.15,P
19RS011,AKILES PRODUCTS INC,EP100BK,8.22,
19RS011,SOUTHWEST PLASTIC BINDING,,9.37,
19RS011,Spiral Binding Co,13100,9.02,P
19RS011,TAMERICA PRODUCTS INC.,19RS011,0,
19RS012,AKILES PRODUCTS INC,EP118BK,9.42,
19RS012,SOUTHWEST PLASTIC BINDING,,10.96,
19RS012,Spiral Binding Co,13118,10.8,P
19RS012,TAMERICA PRODUCTS INC.,19RS012,0,
19RS013,AKILES PRODUCTS INC,EP114BK,9.84,
19RS013,SOUTHWEST PLASTIC BINDING,,10.27,
19RS013,Spiral Binding Co,13114,11.5,P
19RS013,TAMERICA PRODUCTS INC.,19RS013,0,
19RS013-S,SOUTHWEST PLASTIC BINDING,,0,
19RS013-S,Spiral Binding Co,,0,P
19RS014,AKILES PRODUCTS INC,EP112BK,11.56,
19RS014,SOUTHWEST PLASTIC BINDING,,11.59,
19RS014,Spiral Binding Co,13112,12.91,P
19RS014,TAMERICA PRODUCTS INC.,19RS014,0,
19RS014-S,SOUTHWEST PLASTIC BINDING,,0,
19RS014-S,Spiral Binding Co,,0,P
19RS015,AKILES PRODUCTS INC,EP134BK,6.37,
19RS015,SOUTHWEST PLASTIC BINDING,,6.53,
19RS015,Spiral Binding Co,13134,7.11,P
19RS015,TAMERICA PRODUCTS INC.,19RS015,0,
19RS015-S,SOUTHWEST PLASTIC BINDING,,0,
19RS015-S,Spiral Binding Co,,0,P
19RS016,AKILES PRODUCTS INC,EP200BK,6.82,
19RS016,Spiral Binding Co,13200,7.52,P
19RS016-S,SOUTHWEST PLASTIC BINDING,,0,
19RS016-S,Spiral Binding Co,,0,P
19RS102,AKILES PRODUCTS INC,EP104WH,1.51,
19RS102,SOUTHWEST PLASTIC BINDING,,1.51,
19RS102,Spiral Binding Co,13014WHIT,1.92,P
19RS102,TAMERICA PRODUCTS INC.,,0,
19RS103,AKILES PRODUCTS INC,EP516WH,1.84,
19RS103,SOUTHWEST PLASTIC BINDING,,1.83,
19RS103,Spiral Binding Co,13516WHIT,2.15,P
19RS104,AKILES PRODUCTS INC,EP308WH,2.16,
19RS104,SOUTHWEST PLASTIC BINDING,,2.14,
19RS104,Spiral Binding Co,13038WHIT,2.32,P
19RS104,TAMERICA PRODUCTS INC.,19RS104,0,
19RS105,AKILES PRODUCTS INC,EP716WH,2.38,
19RS105,SOUTHWEST PLASTIC BINDING,,2.73,
19RS105,Spiral Binding Co,13716WHIT,2.99,P
19RS106,AKILES PRODUCTS INC,EP102WH,2.75,
19RS106,SOUTHWEST PLASTIC BINDING,,3.17,
19RS106,Spiral Binding Co,13012WHIT,3.18,P
19RS107,AKILES PRODUCTS INC,EP916WH,3.26,
19RS107,SOUTHWEST PLASTIC BINDING,,3.75,
19RS107,Spiral Binding Co,13916WHIT,3.95,P
19RS108,AKILES PRODUCTS INC,EP508WH,4.1,
19RS108,SOUTHWEST PLASTIC BINDING,,4.38,
19RS108,Spiral Binding Co,13058WHIT,4.92,P
19RS109,AKILES PRODUCTS INC,EP304WH,5.39,
19RS109,SOUTHWEST PLASTIC BINDING,,5.51,
19RS109,Spiral Binding Co,13034WHIT,5.92,P
19RS110,AKILES PRODUCTS INC,EP708WH,6.2,
19RS110,SOUTHWEST PLASTIC BINDING,,7.03,
19RS110,Spiral Binding Co,13078WHIT,7.15,P
19RS111,AKILES PRODUCTS INC,EP100WH,8.22,
19RS111,SOUTHWEST PLASTIC BINDING,,9.37,
19RS111,Spiral Binding Co,13100WHIT,9.02,P
19RS112,AKILES PRODUCTS INC,EP118WH,9.42,
19RS112,SOUTHWEST PLASTIC BINDING,,10.96,
19RS112,Spiral Binding Co,13118WHIT,10.8,P
19RS113,AKILES PRODUCTS INC,EP114WH,9.84,
19RS113,SOUTHWEST PLASTIC BINDING,,10.27,
19RS113,Spiral Binding Co,13114WHIT,11.5,P
19RS114,AKILES PRODUCTS INC,EP112WH,11.56,
19RS114,SOUTHWEST PLASTIC BINDING,,11.59,
